date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:06	30538/30538	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/wire-rope-electric-hoist.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/wire-rope-electric-hoist.html	(from http://103.53.42.56/)
18:54:06	31033/31033	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/light-profile-cranes.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/light-profile-cranes.html	(from http://103.53.42.56/)
18:54:06	32217/32217	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/wire-rope.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/wire-rope.html	(from http://103.53.42.56/)
18:54:07	29105/29105	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/webbing-slings.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/webbing-slings.html	(from http://103.53.42.56/)
18:54:08	27770/27770	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/chain-slings.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/chain-slings.html	(from http://103.53.42.56/)
18:54:08	38294/38294	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:00%20GMT	http://103.53.42.56/images/navigation-mangla.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/navigation-mangla.webp	(from http://103.53.42.56/)
18:54:08	25308/25308	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/u-clamps.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/u-clamps.html	(from http://103.53.42.56/)
18:54:08	25971/25971	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/d-clamps.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/d-clamps.html	(from http://103.53.42.56/)
18:54:08	17241/17241	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/services.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/services.html	(from http://103.53.42.56/)
18:54:11	18676/18676	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/contact-us.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/contact-us.html	(from http://103.53.42.56/)
18:54:13	10452/10452	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:32%20GMT	http://103.53.42.56/images/products/eot-cranes.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/eot-cranes.webp	(from http://103.53.42.56/)
18:54:13	10294/10294	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:36%20GMT	http://103.53.42.56/images/products/hot-cranes.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/hot-cranes.webp	(from http://103.53.42.56/)
18:54:14	7692/7692	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:38%20GMT	http://103.53.42.56/images/products/jib-cranes.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/jib-cranes.webp	(from http://103.53.42.56/)
18:54:14	52890/52890	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:51:58%20GMT	http://103.53.42.56/images/mangla-home-banner.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/mangla-home-banner.webp	(from http://103.53.42.56/)
